movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,897476
霸王别姬,2,9.5,646212
这个杀手不太冷,3,9.4,854895
阿甘正传,4,9.4,727811
美丽人生,5,9.5,424811
千与千寻,6,9.2,678807
辛德勒的名单,7,9.4,391063
泰坦尼克号,8,9.2,669302
盗梦空间,9,9.2,778860
机器人总动员,10,9.3,508357
海上钢琴师,11,9.2,609568
三傻大闹宝莱坞,12,9.1,688565
忠犬八公的故事,13,9.2,466805
放牛班的春天,14,9.2,462406
大话西游之大圣娶亲,15,9.2,499797
教父,16,9.2,350662
龙猫,17,9.1,427262
楚门的世界,18,9.1,467007
乱世佳人,19,9.2,275883
天堂电影院,20,9.1,314808
触不可及,21,9.1,373271
当幸福来敲门,22,8.9,549417
熔炉,23,9.2,260651
无间道,24,9.0,408674
搏击俱乐部,25,9.0,409974
十二怒汉,26,9.4,174787
星际穿越,27,9.1,495494
怦然心动,28,8.9,559721
指环王3：王者无敌,29,9.1,289385
少年派的奇幻漂流,30,9.0,588069
天空之城,31,9.0,338438
鬼子来了,32,9.2,232982
蝙蝠侠：黑暗骑士,33,9.0,327093
罗马假日,34,8.9,391633
活着,35,9.1,272176
大话西游之月光宝盒,36,8.9,403693
两杆大烟枪,37,9.0,277084
飞屋环游记,38,8.9,504429
窃听风暴,39,9.1,226212
飞越疯人院,40,9.0,280784
海豚湾,41,9.3,183524
闻香识女人,42,8.9,325441
V字仇杀队,43,8.8,421119
哈尔的移动城堡,44,8.9,353181
控方证人,45,9.6,89637
教父2,46,9.1,188761
美丽心灵,47,8.9,307617
指环王2：双塔奇兵,48,8.9,272887
死亡诗社,49,8.9,280288
指环王1：魔戒再现,50,8.9,304994
情书,51,8.8,377816
辩护人,52,9.1,205802
天使爱美丽,53,8.7,485092
美国往事,54,9.1,175822
饮食男女,55,9.0,198928
钢琴家,56,9.0,203998
狮子王,57,8.9,282972
七宗罪,58,8.7,437387
疯狂动物城,59,9.2,499337
被嫌弃的松子的一生,60,8.9,283930
致命魔术,61,8.8,344932
小鞋子,62,9.2,137284
勇敢的心,63,8.8,296329
剪刀手爱德华,64,8.7,485150
