casts,directors,id,imdbRate,imdbRateNumber,imdburl,number,rate,title,url
"周星驰,巩俐,陈百祥,郑佩佩,朱咪咪",李力持,1306249,7.6,"3,211",http://www.imdb.com/title/tt0108289,311920,8.4,唐伯虎点秋香,https://movie.douban.com/subject/1306249/
"安东内拉·阿蒂利,恩佐·卡拉瓦勒,艾萨·丹尼埃利,里奥·故罗塔,马克·莱昂纳蒂",朱塞佩·托纳多雷,1291828,8.5,"172,459",http://www.imdb.com/title/tt0095765,314971,9.1,天堂电影院,https://movie.douban.com/subject/1291828/
"阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃",涅提·蒂瓦里,26387939,8.6,"72,924",http://www.imdb.com/title/tt5074352,405547,9.1,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/
"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,安妮·海瑟薇,凯特·玛拉",李安,1418834,7.7,"277,501",http://www.imdb.com/title/tt0388795,315701,8.6,断背山,https://movie.douban.com/subject/1418834/
"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,迈克尔·凯恩,玛吉·吉伦哈尔",克里斯托弗·诺兰,1851857,9.0,"1,846,187",http://www.imdb.com/title/tt0468569,327316,9.0,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/
"本木雅弘,广末凉子,山崎努,吉行和子,笹野高史",泷田洋二郎,2149806,8.1,"41,496",http://www.imdb.com/title/tt1069238,319161,8.8,入殓师,https://movie.douban.com/subject/2149806/
"黄晓明,邓超,佟大为,杜鹃",陈可辛,11529526,7.1,"1,608",http://www.imdb.com/title/tt2278392,345010,7.6,中国合伙人,https://movie.douban.com/subject/11529526/
"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯,克里斯托弗·普卢默,保罗·贝坦尼",朗·霍华德,1306029,8.2,"684,454",http://www.imdb.com/title/tt0268978,307791,8.9,美丽心灵,https://movie.douban.com/subject/1306029/
"科林·费尔斯,杰弗里·拉什,海伦娜·伯翰·卡特,盖·皮尔斯,迈克尔·刚本",汤姆·霍珀,4023638,8.0,"546,513",http://www.imdb.com/title/tt1504320,326506,8.3,国王的演讲,https://movie.douban.com/subject/4023638/
"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,维果·莫腾森,奥兰多·布鲁姆",彼得·杰克逊,1291571,8.8,"1,357,159",http://www.imdb.com/title/tt0120737,305141,8.9,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/
"汤姆·汉克斯,罗宾·怀特,加里·西尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德",罗伯特·泽米吉斯,1292720,8.8,"1,409,116",http://www.imdb.com/title/tt0109830,728299,9.4,阿甘正传,https://movie.douban.com/subject/1292720/
